"site","floor_price","user","os","click_1","click_2","click_3","click_4","click_5","click_6","click_7","click_8","click_9","click_10"
"media_0080",NA,"user_000089863","Android",0,1,0,1,0,1,1,0,0,0
"media_0100",NA,"user_000112535","iOS",1,0,0,1,1,1,1,0,0,1
"media_0071",30,"user_000112184","Android",0,1,0,0,0,0,0,0,0,0
"media_0038",NA,"user_000159636","iOS",1,1,1,1,0,1,1,0,0,0
"media_0025",NA,"user_000027028","iOS",1,0,0,1,1,0,0,0,0,0
"media_0099",NA,"user_000094670","Android",1,0,0,1,1,1,1,0,0,1
"media_0011",NA,"user_000158054","Android",0,1,0,1,0,1,1,1,1,1
"media_0100",NA,"user_000007961","iOS",0,0,0,0,0,0,0,0,0,1
"media_0007",50,"user_000119426","iOS",0,1,1,0,0,1,1,1,1,0
"media_0064",NA,"user_000185548","Android",0,0,1,1,1,0,1,1,1,0
"media_0018",NA,"user_000411757","iOS",1,1,0,1,1,1,1,0,1,1
"media_0089",NA,"user_000428718","iOS",1,1,1,0,1,0,0,1,0,1
"media_0066",NA,"user_000108135","iOS",0,0,1,1,0,1,1,1,0,1
"media_0055",50,"user_000188379","Android",1,0,0,0,1,0,1,1,1,0
"media_0029",NA,"user_000123311","Android",1,0,1,1,0,0,0,1,0,1
"media_0074",30,"user_000108482","Android",1,0,1,1,1,1,1,1,1,0
"media_0021",NA,"user_000302847","Android",1,0,0,1,0,0,0,0,0,0
"media_0098",NA,"user_000429812","iOS",1,1,0,1,1,1,1,0,1,1
"media_0044",NA,"user_000082128","Android",0,1,1,0,1,1,0,1,0,0
"media_0015",NA,"user_000188131","Android",1,1,0,1,0,0,1,1,0,0
"media_0061",NA,"user_000175963","iOS",0,1,1,1,1,1,0,0,1,0
"media_0070",NA,"user_000011020","Android",0,1,1,1,1,0,0,0,1,0
"media_0009",30,"user_000188204","iOS",1,1,0,0,1,0,0,0,1,1
"media_0041",NA,"user_000089362","Android",1,0,0,1,1,1,1,0,0,1
"media_0041",NA,"user_000028576","iOS",1,0,0,1,1,0,0,0,0,0
"media_0064",NA,"user_000036152","Android",1,0,0,0,0,1,0,0,1,1
"media_0039",30,"user_000040203","Android",0,1,0,0,1,1,1,0,1,0
"media_0037",NA,"user_000111179","Android",0,1,0,1,1,0,1,1,1,1
"media_0076",NA,"user_000422620","Android",0,0,0,1,1,0,1,0,1,1
"media_0024",NA,"user_000190041","Android",0,0,0,1,1,0,0,1,1,1
"media_0033",NA,"user_000183287","iOS",0,0,1,1,1,1,1,0,1,0
"media_0074",30,"user_000172554","iOS",0,0,1,0,1,1,0,0,0,0
"media_0091",30,"user_000021061","Android",1,0,0,1,1,1,1,1,1,0
"media_0081",NA,"user_000100748","iOS",0,1,1,1,1,1,1,1,1,1
"media_0070",NA,"user_000016954","iOS",0,0,0,1,1,0,1,0,1,1
"media_0093",NA,"user_000192774","iOS",1,1,0,1,1,0,0,1,0,0
"media_0033",NA,"user_000408448","iOS",1,0,1,0,1,0,0,1,1,1
"media_0006",NA,"user_000400431","iOS",1,1,1,0,0,0,1,1,1,1
"media_0074",30,"user_000075081","Android",1,1,0,0,1,0,1,0,0,0
"media_0039",30,"user_000203646","Android",0,1,1,0,1,1,0,0,1,1
"media_0050",30,"user_000068005","Android",1,0,0,1,0,0,0,0,0,1
"media_0010",NA,"user_000143047","iOS",0,0,1,0,0,1,0,1,0,0
"media_0085",60,"user_000317546","Android",0,0,0,1,0,0,1,1,1,0
"media_0074",30,"user_000196878","iOS",0,0,0,1,1,1,1,0,0,0
"media_0056",40,"user_000015993","iOS",1,0,0,1,1,0,0,0,1,1
"media_0043",NA,"user_000082438","iOS",0,0,1,0,0,0,1,1,0,0
"media_0014",NA,"user_000157158","Android",1,1,0,1,1,0,0,0,1,0
"media_0054",50,"user_000196022","Android",1,1,1,1,0,0,0,0,0,1
"media_0080",NA,"user_000177823","Android",1,0,0,0,1,1,1,0,1,0
"media_0002",NA,"user_000408515","Android",1,1,0,0,1,0,1,0,1,0
"media_0077",NA,"user_000196237","iOS",0,0,0,1,1,1,0,0,1,1
"media_0022",NA,"user_000041135","Android",0,1,1,0,0,0,0,0,0,0
"media_0013",NA,"user_000145705","iOS",1,0,1,1,0,1,1,1,1,1
"media_0004",NA,"user_000053343","iOS",1,1,1,1,1,0,0,1,1,0
"media_0093",NA,"user_000002754","Android",0,1,1,0,1,1,1,0,0,1
"media_0056",40,"user_000016754","iOS",0,0,1,1,0,0,0,0,1,1
"media_0009",30,"user_000196724","Android",0,0,1,0,0,1,1,1,0,1
"media_0093",NA,"user_000400357","iOS",1,0,1,0,0,1,1,0,0,1
"media_0043",NA,"user_000034831","iOS",1,1,1,1,0,0,0,0,0,1
"media_0052",30,"user_000178863","Android",0,0,1,0,0,0,0,0,0,1
"media_0050",30,"user_000025465","iOS",0,0,0,1,0,1,1,1,0,1
"media_0021",NA,"user_000184058","iOS",0,1,1,1,1,0,0,1,0,1
"media_0086",NA,"user_000316486","iOS",0,0,0,0,1,0,1,0,0,0
"media_0054",50,"user_000140429","iOS",1,0,1,1,1,0,1,0,1,1
"media_0085",60,"user_000094162","Android",1,0,0,0,1,0,0,0,0,1
"media_0090",NA,"user_000101407","iOS",0,1,1,1,1,1,0,0,0,1
"media_0018",NA,"user_000320490","iOS",0,0,1,0,0,0,1,0,0,0
"media_0091",30,"user_000194153","iOS",0,1,0,0,0,0,0,0,0,1
"media_0014",NA,"user_000070205","Android",1,1,0,0,0,1,1,0,0,1
"media_0064",NA,"user_000179139","Android",1,0,0,1,0,1,0,1,0,1
"media_0005",NA,"user_000075736","iOS",1,1,1,1,0,1,0,1,1,1
